Tm (°C),GC (%)
127.652,51.19
136.083,52.82
137.047,56.27
135.966,53.15
134.515,53.87
133.883,48.91
135.946,52.97
135.18,51.68
135.656,53.91
135.13,52.73
134.657,50.98
133.078,48.89
135.415,51.38
136.688,55.08
132.376,50.95
135.166,51.33
133.448,47.56
131.236,41.0
128.699,36.55
129.483,39.14
127.459,32.28
131.245,46.59
135.92,53.5
137.311,55.73
135.203,53.33
135.887,55.33
136.624,55.21
136.77,55.63
135.576,52.92
136.022,53.44
137.396,55.87
126.221,35.62
131.839,45.96
136.174,55.16
135.958,53.94
135.029,50.64
135.656,52.46
136.17,53.81
135.526,51.88
135.202,52.14
136.921,55.94
136.667,54.86
135.703,56.94
136.078,53.38
135.898,54.8
137.225,55.82
134.648,51.44
131.79,48.72
131.3,45.71
136.844,55.95
134.174,51.85
135.676,53.16
137.044,56.16
136.221,53.77
135.462,51.34
135.528,52.82
130.955,41.83
135.855,54.09
137.02,55.01
137.197,55.57
136.233,54.89
137.056,55.62
138.069,57.97
135.622,52.9
136.113,54.38
137.079,56.94
138.459,58.97
135.722,52.95
131.211,43.16
136.931,55.21
135.033,52.31
137.045,55.67
136.572,54.85
136.049,53.12
126.263,47.13
132.772,45.82
135.938,52.75
133.578,49.39
125.321,44.83
136.507,54.83
134.667,52.29
136.486,54.88
133.58,50.55
136.315,53.65
137.336,56.32
136.649,54.75
135.845,53.09
136.82,55.2
135.827,52.85
137.025,55.99
136.632,54.61
135.157,51.68
135.843,53.55
135.591,52.26
136.358,54.25
134.956,51.2
135.762,54.58
135.844,52.18
132.84,48.37
132.619,52.02
134.844,51.34
135.202,52.66
134.946,50.96
135.542,52.2
136.37,54.04
135.017,53.29
135.913,53.58
135.611,53.99
135.25,52.05
135.739,52.52
136.542,55.42
136.209,53.08
136.76,54.68
135.748,52.49
136.45,53.94
137.276,55.7
134.188,52.07
132.726,46.04
134.918,51.21
133.082,50.16
136.47,54.16
137.053,55.21
134.058,50.28
134.275,50.23
134.184,49.3
134.723,50.97
133.344,49.21
134.351,49.27
134.451,52.49
133.876,48.61
136.14,54.23
136.027,54.09
131.969,43.6
132.913,47.21
132.192,45.38
133.634,49.18
134.491,48.9
133.593,48.35
132.455,46.06
133.845,50.1
137.093,55.79
136.042,53.83
134.619,52.19
133.981,49.36
136.284,55.74
137.689,56.75
136.947,54.91
135.575,51.65
137.129,56.77
136.306,54.55
139.005,60.11
136.962,55.58
136.426,54.15
133.659,51.01
135.498,53.37
135.355,52.43
135.378,52.79
133.837,47.76
136.294,53.82
135.75,52.76
