ID,GC_Content
lcl|NC_002695.2_cds_NP_308028.1_1,0.512
lcl|NC_002695.2_cds_NP_308029.1_2,0.528
lcl|NC_002695.2_cds_NP_308030.1_3,0.563
lcl|NC_002695.2_cds_NP_308031.1_4,0.531
lcl|NC_002695.2_cds_NP_308032.1_5,0.539
lcl|NC_002695.2_cds_NP_308033.1_6,0.489
lcl|NC_002695.2_cds_NP_308034.1_7,0.53
lcl|NC_002695.2_cds_NP_308035.1_8,0.517
lcl|NC_002695.2_cds_NP_308036.1_9,0.539
lcl|NC_002695.2_cds_NP_308037.1_10,0.527
lcl|NC_002695.2_cds_NP_308038.1_11,0.51
lcl|NC_002695.2_cds_NP_308040.1_12,0.489
lcl|NC_002695.2_cds_NP_308041.1_13,0.514
lcl|NC_002695.2_cds_NP_308042.1_14,0.551
lcl|NC_002695.2_cds_NP_308043.1_15,0.51
lcl|NC_002695.2_cds_NP_308044.1_16,0.513
lcl|NC_002695.2_cds_NP_308045.2_17,0.476
lcl|NC_002695.2_cds_NP_308049.1_18,0.41
lcl|NC_002695.2_cds_NP_308050.1_19,0.365
lcl|NC_002695.2_cds_NP_308051.1_20,0.391
lcl|NC_002695.2_cds_NP_308052.1_21,0.323
lcl|NC_002695.2_cds_NP_308053.1_22,0.466
lcl|NC_002695.2_cds_NP_308055.1_23,0.535
lcl|NC_002695.2_cds_NP_308056.1_24,0.557
lcl|NC_002695.2_cds_NP_308057.1_25,0.533
lcl|NC_002695.2_cds_NP_308058.1_26,0.553
lcl|NC_002695.2_cds_NP_308059.1_27,0.552
lcl|NC_002695.2_cds_NP_308060.1_28,0.556
lcl|NC_002695.2_cds_NP_308061.1_29,0.529
lcl|NC_002695.2_cds_NP_308062.1_30,0.534
lcl|NC_002695.2_cds_NP_308063.1_31,0.559
lcl|NC_002695.2_cds_YP_009502587.1_32,0.356
lcl|NC_002695.2_cds_NP_308064.2_33,0.46
lcl|NC_002695.2_cds_NP_308065.2_34,0.552
